hospital_ref,district_code,state,hospital_type,basic_tier,specialties
HOSP-11311,331,JHARKHAND,Public,False,emergency_room|general_medicine|general_surgery|mental_disorders|obgyn|ophthalmology|oral_maxillofacial|orthopaedics
HOSP-11312,539,KARNATAKA,Public,True,
HOSP-11313,416,MADHYA PRADESH,Private(For Profit),False,emergency_room|general_medicine|general_surgery|obgyn|orthopaedics
HOSP-11314,143,UTTAR PRADESH,Public,True,general_medicine
HOSP-11315,187,UTTAR PRADESH,Private(Not For Profit),False,emergency_room|general_medicine|general_surgery|ophthalmology
HOSP-11316,280,ASSAM,Private(For Profit),False,emergency_room|ent|general_medicine|general_surgery|obgyn|orthopaedics|urology
HOSP-11317,629,RAJASTHAN,Public,True,
HOSP-11318,208,BIHAR,Private(For Profit),False,general_surgery|orthopaedics
HOSP-11319,453,GUJARAT,Public,False,burns|emergency_room|ent|general_medicine|general_surgery|mental_disorders|neonatal|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_medicine|paediatric_surgery|polytrauma|urology
HOSP-11320,339,JHARKHAND,Private(Not For Profit),False,emergency_room|general_medicine|general_surgery|obgyn
HOSP-11321,517,ANDHRA PRADESH,Public,True,
HOSP-11322,385,CHHATTISGARH,Public,True,emergency_room|general_medicine
HOSP-11323,565,KERALA,Public,True,
HOSP-11324,591,TAMIL NADU,Private(For Profit),False,
HOSP-11325,520,ANDHRA PRADESH,Private(For Profit),False,
HOSP-11326,160,UTTAR PRADESH,Private(Not For Profit),False,general_surgery
HOSP-11327,685,TELANGANA,Public,True,
HOSP-11328,580,TAMIL NADU,Private(For Profit),False,emergency_room|general_medicine|general_surgery|interventional_neuroradiology|neonatal|neurosurgery|obgyn|orthopaedics|paediatric_medicine
HOSP-11329,504,ANDHRA PRADESH,Public,True,
HOSP-11330,187,UTTAR PRADESH,Private(For Profit),False,ophthalmology
HOSP-11331,647,CHHATTISGARH,Public,True,emergency_room|general_medicine|general_surgery|obgyn
HOSP-11332,562,KERALA,Public,True,emergency_room|general_medicine|paediatric_medicine
HOSP-11333,75,HARYANA,Private(Not For Profit),False,emergency_room|ent|general_medicine|general_surgery|obgyn|ophthalmology|oral_maxillofacial|orthopaedics
HOSP-11334,610,TAMIL NADU,Public,False,
HOSP-11335,163,UTTAR PRADESH,Public,True,general_medicine
HOSP-11336,374,CHHATTISGARH,Public,True,emergency_room|general_medicine|neonatal|obgyn|paediatric_medicine
HOSP-11337,102,RAJASTHAN,Private(For Profit),False,burns|cardiology|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|neurosurgery|obgyn|orthopaedics|paediatric_medicine|plastic_surgery
HOSP-11338,453,GUJARAT,Public,True,burns|cardiology|ctvs|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|medical_oncology|mental_disorders|neonatal|neurosurgery|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_cancer|paediatric_medicine|paediatric_surgery|plastic_surgery|polytrauma|radiation_oncology|surgical_oncology|urology
HOSP-11339,665,MAHARASHTRA,Private(For Profit),False,
HOSP-11340,518,TELANGANA,Private(For Profit),False,
HOSP-11341,540,KARNATAKA,Public,False,
HOSP-11342,501,TELANGANA,Public,True,
HOSP-11343,549,KARNATAKA,Private(For Profit),False,emergency_room|general_medicine
HOSP-11344,487,MAHARASHTRA,Private(For Profit),False,
HOSP-11345,178,UTTAR PRADESH,Private(For Profit),False,general_surgery|ophthalmology
HOSP-11346,378,CHHATTISGARH,Private(For Profit),False,cardiology|obgyn
